ID	D1	D2
C1A1D1s1	0.22896	0.30303
C1A1D1s2	0.22896	0.28956
C1A1D1s3	0.22896	0.27273
C1A1D1s4	0.23232	0.25926
C1A1D1s5	0.23569	0.24242
C1A1D1s6	0.24242	0.23232
C1A1D1s7	0.25926	0.22222
C1A1D1s8	0.27609	0.21212
C1A1D1s9	0.2963	0.21212
C1A1D1s10	0.32323	0.21212
C1A1D1s11	0.35017	0.21886
C1A1D1s12	0.37037	0.21886
C1A1D1s13	0.38721	0.23569
C1A1D1s14	0.39731	0.24916
C1A1D1s15	0.40404	0.26936
C1A1D1s16	0.40404	0.2862
C1A1D1s17	0.40404	0.3064
C1A1D1s18	0.39731	0.3266
C1A1D1s19	0.21886	0.3165
C1A1D1s20	0.21886	0.29966
C1A1D1s21	0.21886	0.28956
C1A1D1s22	0.22559	0.26936
C1A1D1s23	0.22222	0.2862
C1A1D1s24	0.22896	0.25253
C1A1D1s25	0.22896	0.23906
C1A1D1s26	0.24242	0.22896
C1A1D1s27	0.24916	0.21212
C1A1D1s28	0.26936	0.20202
C1A1D1s29	0.2862	0.20202
C1A1D1s30	0.30303	0.20202
C1A1D1s31	0.31987	0.20202
C1A1D1s32	0.32997	0.20202
C1A1D1s33	0.34343	0.20202
C1A1D1s34	0.3569	0.20875
C1A1D1s35	0.38384	0.20875
C1A1D1s36	0.39731	0.22559
C1A1D1s37	0.37037	0.22559
C1A1D1s38	0.40741	0.23569
C1A1D1s39	0.41751	0.25589
C1A1D1s40	0.41751	0.26936
C1A1D1s41	0.41751	0.28956
C1A1D1s42	0.42088	0.3064
C1A1D1s43	0.41077	0.31987
C1A1D1s44	0.20875	0.31313
C1A1D1s45	0.20875	0.2862
C1A1D1s46	0.20875	0.2963
C1A1D1s47	0.21549	0.27946
C1A1D1s48	0.20875	0.26936
C1A1D1s49	0.21549	0.25253
C1A1D1s50	0.21549	0.26599
C1A1D1s51	0.21886	0.23569
C1A1D1s52	0.22222	0.22559
C1A1D1s53	0.22896	0.21886
C1A1D1s54	0.23569	0.20539
C1A1D1s55	0.25589	0.19529
C1A1D1s56	0.26599	0.19192
C1A1D1s57	0.27273	0.19192
C1A1D1s58	0.28956	0.18855
C1A1D1s59	0.3064	0.18855
C1A1D1s60	0.31987	0.18855
C1A1D1s61	0.34343	0.18519
C1A1D1s62	0.36364	0.18519
C1A1D1s63	0.38384	0.20202
C1A1D1s64	0.37037	0.20202
C1A1D1s65	0.35354	0.19192
C1A1D1s66	0.33333	0.19192
C1A1D1s67	0.367	0.19865
C1A1D1s68	0.36364	0.21212
C1A1D1s69	0.39394	0.21212
C1A1D1s70	0.40404	0.22222
C1A1D1s71	0.41414	0.23569
C1A1D1s72	0.42088	0.24579
C1A1D1s73	0.42424	0.26599
C1A1D1s74	0.42761	0.2862
C1A1D1s75	0.42761	0.29966
C1A1D1s76	0.42424	0.3165
C1A1D1s77	0.41077	0.32997
C1A1D1s78	0.32997	0.18182
C1A1D1s79	0.30976	0.17845
C1A1D1s80	0.28956	0.17845
C1A1D1s81	0.27946	0.17845
C1A1D1s82	0.26263	0.18182
C1A1D1s83	0.23906	0.19192
C1A1D1s84	0.22896	0.19865
C1A1D1s85	0.37374	0.23569
C1A1D1s86	0.39731	0.23906
C1A1D1s87	0.41077	0.25253
C1A1D1s88	0.22222	0.20875
C1A1D1s89	0.21549	0.21886
C1A1D1s90	0.20875	0.23232
C1A1D1s91	0.20202	0.24579
C1A1D1s92	0.19865	0.25926
C1A1D1s93	0.19865	0.26599
C1A1D1s94	0.19865	0.27609
C1A1D1s95	0.19865	0.2862
C1A1D1s96	0.19529	0.29966
C1A1D1s97	0.19529	0.31313
C1A1D1s98	0.20202	0.30303
C1A1D1s99	0.39057	0.21886
C1A1D1s100	0.38047	0.22222
C1A1D1s101	0.39731	0.26263
C1A1D1s102	0.38721	0.24579
C1A1D1s103	0.34007	0.21549
C1A1D1s104	0.36364	0.22896
C1A1D1s105	0.40067	0.27609
C1A1D1s106	0.40067	0.2963
C1A1D1s107	0.42088	0.33333
C1A1D1s108	0.42761	0.32323
C1A2D2s109	0.29293	0.2963
C1A2D2s110	0.28283	0.2862
C1A2D2s111	0.2862	0.27609
C1A2D2s112	0.2862	0.26599
C1A2D2s113	0.29966	0.25926
C1A2D2s114	0.31313	0.25926
C1A2D2s115	0.3266	0.27273
C1A2D2s116	0.3266	0.2963
C1A2D2s117	0.31313	0.3064
C1A2D2s118	0.30303	0.3064
C1A2D2s119	0.30303	0.29293
C1A2D2s120	0.29293	0.28956
C1A2D2s121	0.30303	0.27609
C1A2D2s122	0.3165	0.28283
C1A2D2s123	0.30976	0.28283
C1A2D2s124	0.3165	0.29293
C1A2D2s125	0.2963	0.27609
C1A2D2s126	0.30976	0.26599
C1A2D2s127	0.31987	0.27273
C1A2D2s128	0.32997	0.28956
C1A2D2s129	0.33333	0.27946
C1A2D2s130	0.29966	0.26599
C1A2D2s131	0.31987	0.26263
C1A2D2s132	0.32997	0.26599
C1A2D3s133	0.2862	0.33333
C1A2D3s134	0.2963	0.32997
C1A2D3s135	0.31313	0.3266
C1A2D3s136	0.32997	0.33333
C1A2D3s137	0.3367	0.36364
C1A2D3s138	0.31987	0.38047
C1A2D3s139	0.29966	0.38047
C1A2D3s140	0.2862	0.367
C1A2D3s141	0.2862	0.34343
C1A2D3s142	0.2963	0.3367
C1A2D3s143	0.30976	0.3367
C1A2D3s144	0.3165	0.3367
C1A2D3s145	0.31987	0.3468
C1A2D3s146	0.29966	0.35354
C1A2D3s147	0.30303	0.367
C1A2D3s148	0.30976	0.36027
C1A2D3s149	0.31987	0.36364
C1A2D3s150	0.30976	0.37374
C1A2D3s151	0.3266	0.37374
C1A2D3s152	0.3367	0.35017
C1A2D3s153	0.3064	0.3468
C1A2D3s154	0.29293	0.36364
C1A2D3s155	0.28283	0.3569
C1A2D3s156	0.32997	0.3569
C1A2D3s157	0.32997	0.34007
C1A2D3s158	0.32323	0.32997
C1A2D3s159	0.3064	0.32997
C1A2D4s160	0.30976	0.40067
C1A2D4s161	0.31987	0.40067
C1A2D4s162	0.33333	0.40741
C1A2D4s163	0.29966	0.40404
C1A2D4s164	0.2862	0.41414
C1A2D4s165	0.27609	0.43771
C1A2D4s166	0.27946	0.46128
