ID	D1	D2
C1S1O1	0.28283	0.88552
C1S1O2	0.27609	0.86195
C1S1O3	0.27273	0.84512
C1S1O4	0.27273	0.82492
C1S1O5	0.27273	0.78451
C1S1O6	0.26936	0.81145
C1S1O7	0.27609	0.76094
C1S1O8	0.2963	0.77778
C1S1O9	0.29966	0.81818
C1S1O10	0.30303	0.86869
C1S1O11	0.28956	0.85185
C1S1O12	0.2862	0.81481
C1S1O13	0.2862	0.78114
C1S1O14	0.2862	0.79461
C1S1O15	0.30303	0.83838
C1S1O16	0.28956	0.75758
C1S1O17	0.28956	0.73064
C1S1O18	0.27946	0.74074
C1S1O19	0.26936	0.76768
C1S1O20	0.3064	0.77778
C1S1O21	0.2963	0.74747
C1S1O22	0.30303	0.80135
C1S1O23	0.30976	0.84848
C1S1O24	0.29966	0.85522
C1S1O25	0.2963	0.87205
C1S1O26	0.30976	0.76094
C1S1O27	0.3165	0.79461
C1S1O28	0.3165	0.83165
C1S1O29	0.31313	0.73064
C1S1O30	0.3064	0.74074
C1S1O31	0.29293	0.72391
C1S1O32	0.28283	0.71044
C1S1O33	0.28283	0.73064
C1S1O34	0.27609	0.75084
C1S1O35	0.27609	0.72054
C1S1O36	0.30303	0.72054
C1S1O37	0.26936	0.74747
C1S1O38	0.2963	0.70707
C1S1O39	0.2862	0.83502
C1S1O40	0.28283	0.86869
C1S2O41	0.28956	0.69697
C1S2O42	0.27609	0.6835
C1S2O43	0.27609	0.6734
C1S2O44	0.28283	0.69024
C1S2O45	0.29966	0.67677
C1S2O46	0.29293	0.6835
C1S2O47	0.2862	0.6734
C1S2O48	0.2862	0.64983
C1S2O49	0.29966	0.68013
C1S2O50	0.30303	0.65657
C1S2O51	0.30303	0.633
C1S2O52	0.30303	0.60269
C1S2O53	0.29966	0.57239
C1S2O54	0.3064	0.60269
C1S2O55	0.31313	0.64646
C1S2O56	0.30976	0.67677
C1S2O57	0.30976	0.63973
C1S2O58	0.28956	0.62626
C1S2O59	0.29966	0.64646
C1S2O60	0.2862	0.65993
C1S2O61	0.27946	0.633
C1S2O62	0.28283	0.61616
C1S2O63	0.28283	0.60269
C1S2O64	0.29293	0.61279
C1S2O65	0.31313	0.6229
C1S2O66	0.3064	0.6229
C1S2O67	0.29293	0.58586
C1S2O68	0.29293	0.56566
C1S2O69	0.2862	0.57912
C1S2O70	0.3064	0.56229
C1S2O71	0.31313	0.58923
C1S2O72	0.31313	0.59596
C1S2O73	0.3165	0.60943
C1S2O74	0.29966	0.61279
C1S2O75	0.30303	0.66667
C1S2O76	0.27609	0.6633
C1S2O77	0.26936	0.633
C1S2O78	0.27273	0.64983
C1S2O79	0.29966	0.69697
C1S2O80	0.2862	0.58923
C1S2O81	0.26936	0.61953
C1S2O82	0.27609	0.60943
C1S2O83	0.30303	0.59259
C1S2O84	0.31313	0.57912
C1S2O85	0.29293	0.59933
C1S2O86	0.3165	0.65657
C1S2O87	0.3266	0.62963
C1S2O88	0.3266	0.60606
C1S2O89	0.32323	0.6532
C1S2O90	0.3266	0.63973
C1S2O91	0.3468	0.6229
C1S2O92	0.27609	0.59259
C1S2O93	0.3165	0.71717
C1S2O94	0.3367	0.6835
C1S2O95	0.3266	0.6734
C1S2O96	0.29966	0.6835
C1S2O97	0.29966	0.6532
C1S2O98	0.29966	0.63973
C1S2O99	0.28956	0.6633
C1S2O100	0.27946	0.6633
C1S2O101	0.27946	0.63636
C1S2O102	0.28956	0.60943
C1S2O103	0.28956	0.62963
C1S2O104	0.28956	0.6431
C1S2O105	0.29293	0.68687
C1S2O106	0.2862	0.68687
C1S2O107	0.28283	0.6532
C1S2O108	0.2862	0.61953
C1S2O109	0.29966	0.633
C1S2O110	0.29293	0.68013
C1S2O111	0.30303	0.69697
C1S2O112	0.28956	0.64646
C1S2O113	0.28956	0.6229
C1S2O114	0.27609	0.62626
C1S2O115	0.27609	0.6431
C1S2O116	0.3064	0.61279
C1S2O117	0.29966	0.6229
C1S2O118	0.27609	0.67003
C1S2O119	0.27946	0.6835
C1S2O120	0.28283	0.6431
C1S2O121	0.2862	0.61616
C1S2O122	0.28956	0.59933
C1S3O123	0.29293	0.55219
C1S3O124	0.31313	0.55219
C1S3O125	0.2862	0.56229
C1S3O126	0.2862	0.53199
C1S3O127	0.27946	0.53535
C1S3O128	0.2862	0.51515
C1S3O129	0.28283	0.49832
C1S3O130	0.28283	0.47811
C1S3O131	0.29293	0.45455
C1S3O132	0.30303	0.49495
C1S3O133	0.29293	0.52862
C1S3O134	0.30976	0.53535
C1S3O135	0.3064	0.50842
C1S3O136	0.31987	0.47811
C1S3O137	0.30303	0.47811
C1S3O138	0.2963	0.48148
C1S3O139	0.28283	0.46465
C1S3O140	0.2862	0.51515
C1S3O141	0.30976	0.54209
C1S3O142	0.3165	0.52525
C1S3O143	0.29966	0.50842
C1S3O144	0.29966	0.51852
C1S3O145	0.29966	0.53535
C1S3O146	0.29293	0.50505
C1S3O147	0.30976	0.46801
C1S3O148	0.29966	0.43771
C1S3O149	0.30303	0.44781
C1S3O150	0.31987	0.47138
C1S3O151	0.31987	0.50505
C1S3O152	0.32323	0.53535
C1S3O153	0.3266	0.47811
C1S3O154	0.31987	0.43771
C1S3O155	0.30976	0.42088
C1S3O156	0.3064	0.46128
C1S3O157	0.30303	0.46465
C1S3O158	0.28956	0.41751
C1S3O159	0.28283	0.44444
C1S3O160	0.3165	0.47138
C1S3O161	0.33333	0.45791
C1S3O162	0.31987	0.45455
C1S3O163	0.30303	0.41751
C1S3O164	0.35354	0.57239
C1S3O165	0.33333	0.55556
C1S3O166	0.31987	0.52189
C1S3O167	0.2862	0.48485
C1S3O168	0.27946	0.51515
C1S3O169	0.2963	0.46128
C1S3O170	0.31313	0.48822
C1S3O171	0.33333	0.53199
C1S3O172	0.35017	0.54545
C1S3O173	0.30303	0.42761
C1S3O174	0.32997	0.43434
C2S4O175	0.34343	0.67677
C2S4O176	0.33333	0.68687
C2S4O177	0.34343	0.69697
C2S4O178	0.36027	0.7138
C2S4O179	0.34343	0.66667
C2S4O180	0.36027	0.6633
C2S4O181	0.38047	0.67677
C2S4O182	0.38384	0.71044
C2S4O183	0.367	0.71044
C2S4O184	0.3569	0.68687
C2S4O185	0.36027	0.6835
C2S4O186	0.367	0.6936
C2S4O187	0.367	0.7037
C2S4O188	0.35354	0.7037
C2S4O189	0.39057	0.70034
C2S4O190	0.38047	0.6835
C2S4O191	0.367	0.6734
C2S4O192	0.35017	0.6532
C2S4O193	0.34343	0.65993
C2S4O194	0.3771	0.66667
C2S4O195	0.38721	0.69024
C2S4O196	0.37374	0.70707
C2S4O197	0.34343	0.70707
C2S4O198	0.32997	0.7037
C2S4O199	0.32997	0.65657
C2S4O200	0.3468	0.6633
C2S4O201	0.38047	0.66667
C2S4O202	0.39394	0.6835
C2S4O203	0.35354	0.6835
C2S4O204	0.36027	0.69697
C2S4O205	0.32323	0.6936
C2S4O206	0.3266	0.6633
C2S4O207	0.36027	0.6532
C2S4O208	0.38047	0.65657
C2S4O209	0.39394	0.67677
C2S4O210	0.3771	0.69697
C2S4O211	0.3569	0.67677
C2S4O212	0.37037	0.6835
C2S4O213	0.35017	0.66667
C2S4O214	0.35017	0.68013
C2S4O215	0.35017	0.69697
C2S4O216	0.33333	0.69697
C2S4O217	0.33333	0.68687
C2S4O218	0.33333	0.67677
C2S4O219	0.3367	0.6835
C2S4O220	0.3367	0.6936
C2S4O221	0.36364	0.6936
C2S4O222	0.39057	0.69024
C2S4O223	0.38047	0.6734
C2S4O224	0.36364	0.6734
C2S4O225	0.36364	0.6633
C2S4O226	0.36027	0.68013
C2S4O227	0.34343	0.69024
C2S5O228	0.3569	0.62963
C2S5O229	0.3468	0.62963
C2S5O230	0.34343	0.60269
C2S5O231	0.36027	0.60606
C2S5O232	0.3367	0.61279
C2S5O233	0.34007	0.63636
C2S5O234	0.36027	0.63636
C2S5O235	0.3569	0.61953
C2S5O236	0.37037	0.6229
C2S5O237	0.38047	0.63973
C2S5O238	0.3468	0.61616
C2S5O239	0.34007	0.59596
C2S5O240	0.37037	0.59596
C2S5O241	0.38384	0.60943
C2S5O242	0.38384	0.61953
C2S5O243	0.37374	0.63636
C2S5O244	0.3468	0.6229
C2S5O245	0.3569	0.60606
C2S5O246	0.37374	0.60943
C2S5O247	0.3771	0.62963
C2S5O248	0.36027	0.63973
C2S5O249	0.3367	0.63636
C2S5O250	0.3367	0.61953
C2S5O251	0.33333	0.60606
C2S5O252	0.3468	0.59933
C2S5O253	0.3569	0.59933
C2S5O254	0.38384	0.59933
C2S5O255	0.38721	0.62626
C2S5O256	0.38721	0.63973
C2S5O257	0.3468	0.63636
C2S5O258	0.3367	0.6229
C2S5O259	0.34007	0.60269
C2S5O260	0.34343	0.59933
C2S5O261	0.36364	0.61953
C2S5O262	0.367	0.63636
C2S5O263	0.33333	0.6229
C2S5O264	0.35017	0.633
C2S5O265	0.3569	0.60606
C2S5O266	0.37037	0.61279
C2S5O267	0.34343	0.61279
C2S5O268	0.33333	0.6229
C2S5O269	0.33333	0.633
C2S5O270	0.3367	0.63636
C2S5O271	0.38384	0.63636
C2S5O272	0.37037	0.61953
C2S5O273	0.32997	0.61953
C2S5O274	0.3266	0.62963
C2S5O275	0.32997	0.61279
C2S5O276	0.36027	0.61279
C2S5O277	0.367	0.60943
C2S5O278	0.36364	0.63973
C2S5O279	0.35017	0.6431
C2S5O280	0.32997	0.6431
C2S5O281	0.35354	0.6229
C2S5O282	0.38047	0.62963
C2S5O283	0.38047	0.60943
C2S5O284	0.3468	0.59933
C2S5O285	0.3367	0.59933
C2S5O286	0.3569	0.61953
C2S5O287	0.3367	0.61953
C2S5O288	0.35017	0.62626
C2S5O289	0.37037	0.62626
C2S5O290	0.367	0.6431
C2S5O291	0.35017	0.6431
C2S5O292	0.35017	0.61953
C2S5O293	0.37374	0.61616
C2S5O294	0.35354	0.63973
C2S5O295	0.34007	0.6431
C2S5O296	0.34007	0.62963
C2S6O297	0.3367	0.57912
C2S6O298	0.32997	0.55556
C2S6O299	0.34343	0.54545
C2S6O300	0.367	0.54209
C2S6O301	0.39731	0.56229
C2S6O302	0.38047	0.57912
C2S6O303	0.35354	0.58586
C2S6O304	0.32997	0.57912
C2S6O305	0.32997	0.55892
C2S6O306	0.32323	0.57239
C2S6O307	0.33333	0.57239
C2S6O308	0.3367	0.55892
C2S6O309	0.35354	0.55892
C2S6O310	0.3771	0.55892
C2S6O311	0.367	0.57576
C2S6O312	0.34343	0.57576
C2S6O313	0.3569	0.56566
C2S6O314	0.34343	0.54882
C2S6O315	0.36364	0.55556
C2S6O316	0.37374	0.55556
C2S6O317	0.38047	0.54882
C2S6O318	0.39057	0.56566
C2S6O319	0.37374	0.57912
C2S6O320	0.34343	0.57239
C2S6O321	0.35354	0.55556
C2S6O322	0.35354	0.54545
C2S6O323	0.33333	0.55892
C2S6O324	0.37037	0.55556
C2S6O325	0.3771	0.56566
C2S6O326	0.37374	0.57912
C2S6O327	0.35017	0.57912
C2S6O328	0.33333	0.57576
C2S6O329	0.34007	0.55892
C2S6O330	0.36027	0.53199
C2S6O331	0.3771	0.54882
C2S6O332	0.38384	0.55556
C2S6O333	0.38384	0.57576
C2S6O334	0.36027	0.55219
C2S6O335	0.34343	0.54209
C2S6O336	0.34007	0.55219
C2S6O337	0.34007	0.56566
C2S6O338	0.33333	0.56229
C2S6O339	0.3771	0.56902
C2S6O340	0.35017	0.53535
C2S6O341	0.38047	0.53535
C2S6O342	0.38384	0.55219
C2S6O343	0.39057	0.57576
C2S6O344	0.3569	0.57239
C2S6O345	0.33333	0.54209
C2S6O346	0.37037	0.57239
C2S6O347	0.36027	0.56902
C2S6O348	0.35017	0.57576
C2S6O349	0.35354	0.55892
C2S6O350	0.35017	0.54545
C2S6O351	0.34343	0.53199
C2S6O352	0.36027	0.54882
C2S6O353	0.3569	0.56566
C2S6O354	0.3468	0.56566
C2S6O355	0.35354	0.55892
C2S6O356	0.37037	0.57912
C2S6O357	0.36364	0.54882
C2S6O358	0.3569	0.53535
C2S6O359	0.35017	0.57239
C2S6O360	0.3569	0.58586
C2S6O361	0.367	0.58249
C2S6O362	0.3569	0.58249
C2S6O363	0.3569	0.58249
C2S6O364	0.36027	0.56902
C2S6O365	0.36027	0.54545
C2S6O366	0.3367	0.54209
C2S7O367	0.40067	0.73401
C2S7O368	0.39731	0.71717
C2S7O369	0.40067	0.70034
C2S7O370	0.41077	0.69697
C2S7O371	0.44781	0.7037
C2S7O372	0.44781	0.71717
C2S7O373	0.43098	0.74074
C2S7O374	0.41751	0.74074
C2S7O375	0.41751	0.72391
C2S7O376	0.42424	0.71717
C2S7O377	0.43771	0.7138
C2S7O378	0.43771	0.73064
C2S7O379	0.38047	0.73737
C2S7O380	0.39057	0.75421
C2S7O381	0.40741	0.76094
