ID	D1	D2	D3	D4
set1	5.1	3.5	1.4	0.2
set2	4.9	3	1.4	0.2
set3	4.7	3.2	1.3	0.2
set4	4.6	3.1	1.5	0.2
set5	5	3.6	1.4	0.2
set6	5.4	3.9	1.7	0.4
set7	4.6	3.4	1.4	0.3
set8	5	3.4	1.5	0.2
set9	4.4	2.9	1.4	0.2
set10	4.9	3.1	1.5	0.1
set11	5.4	3.7	1.5	0.2
set12	4.8	3.4	1.6	0.2
set13	4.8	3	1.4	0.1
set14	4.3	3	1.1	0.1
set15	5.8	4	1.2	0.2
set16	5.7	4.4	1.5	0.4
set17	5.4	3.9	1.3	0.4
set18	5.1	3.5	1.4	0.3
set19	5.7	3.8	1.7	0.3
set20	5.1	3.8	1.5	0.3
set21	5.4	3.4	1.7	0.2
set22	5.1	3.7	1.5	0.4
set23	4.6	3.6	1	0.2
set24	5.1	3.3	1.7	0.5
set25	4.8	3.4	1.9	0.2
set26	5	3	1.6	0.2
set27	5	3.4	1.6	0.4
set28	5.2	3.5	1.5	0.2
set29	5.2	3.4	1.4	0.2
set30	4.7	3.2	1.6	0.2
set31	4.8	3.1	1.6	0.2
set32	5.4	3.4	1.5	0.4
set33	5.2	4.1	1.5	0.1
set34	5.5	4.2	1.4	0.2
set35	4.9	3.1	1.5	0.1
set36	5	3.2	1.2	0.2
set37	5.5	3.5	1.3	0.2
set38	4.9	3.1	1.5	0.1
set39	4.4	3	1.3	0.2
set40	5.1	3.4	1.5	0.2
set41	5	3.5	1.3	0.3
set42	4.5	2.3	1.3	0.3
set43	4.4	3.2	1.3	0.2
set44	5	3.5	1.6	0.6
set45	5.1	3.8	1.9	0.4
set46	4.8	3	1.4	0.3
set47	5.1	3.8	1.6	0.2
set48	4.6	3.2	1.4	0.2
set49	5.3	3.7	1.5	0.2
set50	5	3.3	1.4	0.2
ver51	7	3.2	4.7	1.4
ver52	6.4	3.2	4.5	1.5
ver53	6.9	3.1	4.9	1.5
ver54	5.5	2.3	4	1.3
ver55	6.5	2.8	4.6	1.5
ver56	5.7	2.8	4.5	1.3
ver57	6.3	3.3	4.7	1.6
ver58	4.9	2.4	3.3	1
ver59	6.6	2.9	4.6	1.3
ver60	5.2	2.7	3.9	1.4
ver61	5	2	3.5	1
ver62	5.9	3	4.2	1.5
ver63	6	2.2	4	1
ver64	6.1	2.9	4.7	1.4
ver65	5.6	2.9	3.6	1.3
ver66	6.7	3.1	4.4	1.4
ver67	5.6	3	4.5	1.5
ver68	5.8	2.7	4.1	1
ver69	6.2	2.2	4.5	1.5
ver70	5.6	2.5	3.9	1.1
ver71	5.9	3.2	4.8	1.8
ver72	6.1	2.8	4	1.3
ver73	6.3	2.5	4.9	1.5
ver74	6.1	2.8	4.7	1.2
ver75	6.4	2.9	4.3	1.3
ver76	6.6	3	4.4	1.4
ver77	6.8	2.8	4.8	1.4
ver78	6.7	3	5	1.7
ver79	6	2.9	4.5	1.5
ver80	5.7	2.6	3.5	1
ver81	5.5	2.4	3.8	1.1
ver82	5.5	2.4	3.7	1
ver83	5.8	2.7	3.9	1.2
ver84	6	2.7	5.1	1.6
ver85	5.4	3	4.5	1.5
ver86	6	3.4	4.5	1.6
ver87	6.7	3.1	4.7	1.5
ver88	6.3	2.3	4.4	1.3
ver89	5.6	3	4.1	1.3
ver90	5.5	2.5	4	1.3
ver91	5.5	2.6	4.4	1.2
