ID	a0	a1
1	15.464	19.4409
2	17.7983	14.8367
3	15.0522	17.2602
4	15.3265	18.1245
5	17.7211	15.0053
6	16.7703	16.5096
7	14.5202	15.2777
8	13.0365	16.5854
9	12.9726	17.9263
10	15.8985	17.3809
11	17.4951	17.3044
12	15.429	14.2952
13	17.3656	14.5727
14	15.3067	17.2094
15	16.0827	15.4634
16	17.0917	17.56
17	16.9116	14.989
18	17.4422	16.4065
19	16.0756	14.5156
20	15.9407	14.9483
21	16.3072	14.9
22	15.6273	14.0664
23	16.2231	18.0958
24	18.582	18.2984
25	14.6839	12.5133
26	18.0406	14.282
27	16.9226	15.4166
28	16.1448	14.0772
29	15.5834	17.4993
30	15.3563	15.9997
31	15.502	15.2259
32	17.5806	14.6431
33	19.5359	17.3495
34	17.1991	15.8414
35	18.0528	16.1468
36	15.7983	16.6047
37	15.512	17.1197
38	17.0188	18.0452
39	15.0616	13.7979
40	19.2077	14.2998
41	15.2413	14.1172
42	13.48	15.2144
43	17.5143	15.5952
44	19.3998	16.5515
45	14.3853	17.2844
46	12.5038	15.8406
47	14.5953	14.5792
48	16.4044	16.5052
49	14.9307	13.9586
50	16.777	14.848
51	14.9371	14.3088
52	14.8611	14.7618
53	18.4363	16.9572
54	13.6519	17.5881
55	13.0717	20.5201
56	14.8945	15.9053
57	15.8362	15.5648
58	15.2934	16.1949
59	15.8895	14.6806
60	16.476	15.1737
61	14.2752	15.1935
62	18.4192	16.271
63	17.4179	16.3666
64	14.3428	15.3748
65	15.7446	15.1492
66	17.5479	13.6618
67	16.3384	18.499
68	16.5278	16.4721
69	15.7585	14.776
70	17.4294	15.5536
71	14.9692	17.9135
72	14.9882	16.445
73	18.7688	17.8611
74	11.8488	16.2259
75	14.9125	17.3603
76	14.5812	14.6913
77	17.2207	15.2994
78	14.4517	15.2015
79	17.5746	11.7335
80	15.1593	16.7917
81	15.8593	15.7597
82	14.8812	13.6643
83	17.5061	15.6569
84	16.4077	15.9492
85	14.3321	16.4796
86	17.3265	14.7527
87	16.2282	14.7003
88	16.9978	15.0612
89	18.5195	18.0621
90	15.6272	15.1682
91	13.6691	14.7616
92	17.2089	15.851
93	17.9445	13.4884
94	16.6038	15.7889
95	15.5254	15.9746
96	18.127	16.6261
97	17.7556	16.1532
98	18.0631	13.9859
99	15.2447	13.4001
100	16.8611	14.1324
101	16.6306	17.1213
102	16.2315	16.2718
103	15.3492	17.1801
104	16.5457	17.3388
105	15.4792	14.1565
106	15.9852	16.2795
107	14.9367	16.9359
108	14.9714	15.7472
109	15.0812	14.504
110	16.0673	16.6687
111	14.5134	16.4144
112	15.6038	18.5234
113	16.5157	15.1785
114	16.1788	15.6728
115	18.3742	16.2976
116	19.1106	17.5936
117	15.8487	13.0658
118	14.5193	16.6634
119	17.521	19.4902
120	17.7429	18.1655
121	17.6849	16.367
122	17.0571	14.0977
123	13.2984	18.2434
124	16.0727	15.9948
125	17.6686	17.5843
126	18.1393	10.4202
127	13.1623	6.81529
128	17.4634	8.65127
129	17.4023	8.86944
130	14.2923	7.31976
131	17.5792	6.69351
132	14.9105	3.5546
133	14.8898	7.75121
134	16.394	8.6561
135	18.9102	6.48742
