ID	a1	a2
1	0.05896	0.1562
2	0.06569	0.1562
3	0.07579	0.1562
4	0.08589	0.14609
5	0.07242	0.15956
6	0.05559	0.15956
7	0.07579	0.15956
8	0.08253	0.15283
9	0.08589	0.12926
10	0.08926	0.13936
11	0.09599	0.12589
12	0.09263	0.11916
13	0.08926	0.11579
14	0.07242	0.10906
15	0.06232	0.10906
16	0.07916	0.10906
17	0.08926	0.12253
18	0.09263	0.13599
19	0.09263	0.14946
20	0.08253	0.15956
21	0.06232	0.1663
22	0.05559	0.16293
23	0.06906	0.16293
24	0.07579	0.16293
25	0.08926	0.15283
26	0.08926	0.13599
27	0.08926	0.11916
28	0.07579	0.11579
29	0.06906	0.10906
30	0.06232	0.10906
31	0.07242	0.10569
32	0.08253	0.11916
33	0.06232	0.10569
34	0.08589	0.11579
35	0.06232	0.11579
36	0.05559	0.12253
37	0.04549	0.12589
38	0.04886	0.11916
39	0.05222	0.11579
40	0.06232	0.11242
41	0.09263	0.13263
42	0.09599	0.14273
43	0.08589	0.1562
44	0.08589	0.1663
45	0.06569	0.17303
46	0.05896	0.16966
47	0.07242	0.16966
48	0.08253	0.16966
49	0.08589	0.16293
50	0.09263	0.15956
51	0.09263	0.14609
52	0.09263	0.12589
53	0.09936	0.13936
54	0.09599	0.14946
55	0.05559	0.10906
56	0.05559	0.11579
57	0.06569	0.11916
58	0.09599	0.13263
59	0.09936	0.15283
60	0.09263	0.16293
61	0.09936	0.14609
62	0.06906	0.11579
63	0.09936	0.12926
64	0.10273	0.13936
65	0.10273	0.14609
66	0.10273	0.14946
67	0.09936	0.15956
68	0.10273	0.13263
69	0.07916	0.10906
70	0.07579	0.11242
71	0.08589	0.11242
72	0.09599	0.11579
73	0.09599	0.11916
74	0.10273	0.12589
75	0.10273	0.13263
76	0.09936	0.12253
77	0.09263	0.11242
78	0.08589	0.10906
79	0.07916	0.10569
80	0.05222	0.14273
81	0.04886	0.14946
82	0.04212	0.15956
83	0.03875	0.16293
84	0.04549	0.14273
85	0.04549	0.15283
86	0.04212	0.1562
87	0.03875	0.15956
88	0.03875	0.17303
89	0.03875	0.1764
90	0.04212	0.18313
91	0.04886	0.18987
92	0.05896	0.19323
93	0.07579	0.19323
94	0.09599	0.19323
95	0.10273	0.1865
96	0.10946	0.17976
97	0.11283	0.17303
98	0.1162	0.1663
99	0.12293	0.1562
100	0.12293	0.14273
101	0.11956	0.12926
102	0.11283	0.11916
103	0.10273	0.10569
104	0.08926	0.09896
105	0.09599	0.10232
106	0.10273	0.10906
107	0.10946	0.11242
108	0.1162	0.12589
109	0.12293	0.13599
110	0.12293	0.14273
111	0.12293	0.14946
112	0.12293	0.15956
113	0.1162	0.17303
114	0.10946	0.18313
115	0.10609	0.18987
116	0.09599	0.19323
117	0.08253	0.1966
118	0.07916	0.1966
119	0.07242	0.1966
120	0.06569	0.1966
121	0.05559	0.1966
122	0.04549	0.18987
123	0.04212	0.1865
124	0.03875	0.17976
125	0.03875	0.1764
126	0.03539	0.16966
127	0.04549	0.14946
128	0.04212	0.14946
129	0.03539	0.15956
130	0.03202	0.16966
131	0.03875	0.15283
132	0.03202	0.1562
133	0.02865	0.16293
134	0.03202	0.16293
135	0.03539	0.14609
136	0.03539	0.15283
137	0.03202	0.1764
138	0.03202	0.18313
139	0.03875	0.1966
140	0.03539	0.1865
